company,code,subcode,במלאי,amount,description,price ,סהכ,category,subcategory,izo,grade,currency
DIJET,,SKS-3040-50-S32  (32121-Z1890),,2,,€0.00,€0.00,other,,,,EUR
DIJET,,SNMG120408R-SG       JC8015,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,SNMG120408-SZ       JC5118,,200,,€0.00,€0.00,other,,,,EUR
DIJET,,SNMG120412R-SG       JC8015,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,SNMG120412-SZ       JC5118,,180,,€0.00,€0.00,other,,,,EUR
DIJET,,SDEW090312ZER.   JC7518,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,SDEW090312ZER.   JC7550,,70,,€0.00,€0.00,other,,,,EUR
DIJET,,SDET090312ZDER.   JC7550,,40,,€0.00,€0.00,other,,,,EUR
DIJET,,SPMT100415ZPER-SM       JC7550,,8,,€3.95,€31.60,other,,,,EUR
DIJET,,SPMT100415ZPTR-PM       JC8118,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,TDM-5050R-12-22,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZ 1430  JC8050,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZ 1450  JC8050,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZ 1630  JC8050,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZ 2000  JC8050,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZ 2650  JC8050,,3,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZD 1400S16-ML,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZD 1400S16-MS,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZD 1600S20-ML,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZD 2000S25-MS,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZD 2000S25-ML,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TEZD 2600S32-MS,,3,,€0.00,€0.00,other,,,,EUR
DIJET,,TLZD2000S25-SS,1,1,מקדח,€0.00,€0.00,other,,,,EUR
DIJET,,TLZD2000-M10,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TLZ2000 JC7550,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,TNMG 331-SF              JC8015,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,TNMG160404R-SG       JC8015,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,TNMG160404-SZ       JC5118,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,TNMG160408L-SG       JC8015,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,TNMG160408R-SG       JC8015,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,TNMG160408-SZ       JC5118,,80,,€0.00,€0.00,other,,,,EUR
DIJET,,TNMG160408-UD       JC110V,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,WDMT 080520ZER    (CVD)           JC7560,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,WDMW 050316ZTR              JC8118,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,WDMW 080520ZTR                        JC8118,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,XDHW 031010                       DH103,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,XDMT 080620ZER-ML                   JC7560P,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,XDMW 080635ZTR-S                    JC5040,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,YOHW 060208ZER-12            DH102,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,YPHW 100308ZER-F    JC8015,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,ZDMT 13T316-RP                      FZ15,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,ZDMT 13T320-RP                      FZ15,,60,,€4.11,€246.60,other,,,,EUR
DIJET,,ZPMT 100304ZER-PL                      DH102,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100304ZER-SL                      JC7518,,40,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100304ZER-PL                      JC8118,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100308ZER                    JC8050,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100308ZER-PL                    CX75,,60,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100308ZER-PL                    DH102,,90,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100308ZER-SL                    JC7518,,130,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100320ZER                         JC8050,,70,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 100320ZER-PL                      JC8118,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,SDEW 090312ZER.                      JC7518,,100,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 13T316R                        JC5015,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 13T316-RP                     FZ15,,10,,€4.11,€41.10,other,,,,EUR
DIJET,,ZPMT 13T316-R                     JC5040,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 13T320R                      JC5015,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT 160408-LP                      FZ15,,3,,€0.00,€0.00,other,,,,EUR
DIJET,,ZPMT100308ZER-PL CX75,,3,,€0.00,€0.00,other,,,,EUR
DIJET,,RDMX12T3MOT JC8015,,8,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-080       JC8003,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,#11139-Z9523   JC7550,,4,,€0.00,€0.00,other,,,,EUR
DIJET,,YCMU 090716ZER-PM JC8050,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,YCMU 09078ZER-PM JC8118,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,RDHT 12T3MO T57P,,20,,€0.00,€0.00,other,,,,EUR
