#,,,,,
ספק ראשי,קוד פריט,תאור פריט,ספירה מעודכנת,תאור לועזי,עלות 
ALLIED,NHLTA20-0030,"#24000H-20FM(RANGE13.0-17.5,B=64,d20*42)",1,"מקדח ארוך,ספירלי,קנה ישר+קרור",409.42
ALLIED,NHLTA20-0040,"#24005H-20FM(RANGE15.5-17.5,B=64,d20*42)",6,"מקדח ארוך,ספירלי,קנה ישר+קרור",534.71
ALLIED,NHLTA03-0014,"#24010H-003I (RANGE17.8-24.0,B=172,MT=3)",1,"מקדח ארוך,ספירלי,קנה קוני+קרור",183.78
ALLIED,NHLTA25-0010,"#24010H-25FM(RANGE17.8-24.0,B168,d25*53)",4,"מקדח ארוך,ספירלי,קנה ישר+קרור",490.37
ALLIED,NHLTA03-0013,"#24010S-003I (RANGE17.8-24.0,B=172,MT=3)",1,"מק'ארוך,תעול ישר,קנה קוני+קרור",167.85
ALLIED,NHLTA03-0012,"#24010S-004I (RANGE17.8-24.0,B=172,MT=4)",2,"מק'ארוך,תעול ישר,קנה קוני+קרור",173.16
ALLIED,NHLTA03-0020,"#24015H-003M (RANGE22.0-24.0,B=172,MT=3)",1,"מקדח ארוך,ספירלי,קנה קוני+קרור",196.53
ALLIED,NHLTA25-0020,"#24015H-25FM(RANGE22.0-24.0,B167,d25*53)",6,"מקדח ארוך,ספירלי,קנה ישר+קרור",555.15
ALLIED,NHLTA03-0022,"#24015S-003I (RANGE22.0-24.0,B=172,MT=3)",1,"מק'ארוך,תעול ישר,קנה קוני+קרור",179.53
ALLIED,NHLTA04-0010,"#24020H-004M (RANGE24.6-35.0,B=187,MT=4)",2,"מקדח ארוך,ספירלי,קנה קוני+קרור",629.33
ALLIED,NHLTA32-0010,"#24020H-32FM(RANGE24.6-35.0,B187,d32*58)",2,"מקדח ארוך,ספירלי,קנה ישר+קרור",567.86
ALLIED,NHLTA04-0013,"#24020S-004I (RANGE24.6-35.0,B=187,MT=4)",2,"מק'ארוך,תעול ישר,קנה קוני+קרור",190.16
ALLIED,NHLTA04-0020,"#24025H-004M (RANGE30.0-35.0,B=187,MT=4)",1,"מקדח ארוך,ספירלי,קנה קוני+קרור",227.34
ALLIED,NHLTA32-0020,"#24025H-32FM(RANGE30.0-35.0,B187,d32*58)",3,"מקדח ארוך,ספירלי,קנה ישר+קרור",619.13
ALLIED,NHLTA04-0030,"#24030H-004M (RANGE35.7-47.6,B=210,MT=4)",1,"מקדח ארוך,ספירלי,קנה קוני+קרור",747.53
ALLIED,NHLTA40-0010,"#24030H-40FM(RANGE35.7-47.6,B210,d40*70)",1,"מקדח ארוך,ספירלי,קנה ישר+קרור",747.53
ALLIED,NHLTA04-0031,"#24030S-004I (RANGE35.7-47.6,B=210,MT=4)",1,"מק'ארוך,תעול ישר,קנה קוני+קרור",211.4
ALLIED,NHLTA40-0020,#24040S-0051,1,"מקדח ארוך,ספירלי,קנה ישר+קרור",0
ALLIED,NHLTA20-0010,"#240Y0H-20FM (RANGE9.5-11.0,B=60,d20*42)",1,"מקדח ארוך,ספירלי,קנה ישר+קרור",413.7
ALLIED,NHLTA20-0020,"#240Z0H-20FM(RANGE11.1-12.7,B=60,d20*42)",3,"מקדח ארוך,ספירלי,קנה ישר+קרור",493.06
ALLIED,NHETA02-0032,"#25000H-002I (RANGE13.0-17.5,B=114,MT=2)",1,"מק' א.מאוד,ספיר',קנה קוני+קרור",175.29
ALLIED,NHETA02-0031,"#25000S-002I (RANGE13.0-17.5,B=114,MT=2)",2,"מק'ארוך,תעול ישר,קנה קוני+קרור",0
ALLIED,NHETA02-0035,"#25000S-075L(RANGE13.0-15.5,B114,D19.05",1,"מק' בינוני,,קנה ישר+קרור פנימי",406
ALLIED,NHETA02-0033,"#25005H-002I (RANGE15.5-17.5,B=114,MT=2)",4,"מק' א.מאוד,ספיר',קנה קוני+קרור",175.29
ALLIED,NHETA02-0040,"#25005H-002M (RANGE15.5-17.5,B=114,MT=2)",1,"מק' א.מאוד,ספיר',קנה קוני+קרור",161.37
ALLIED,NHETA20-0040,"#25005H-20FM(RANGE15.5-17.5,B114,d20*42)",5,"מקדח א. מא',ספיר',קנה ישר+קרור",180.59
ALLIED,NHETA25-0010,"#25010H-25FM(RANGE17.8-24.0,B270,d25*53)",1,"מקדח א. מא',ספיר',קנה ישר+קרור",328.09
ALLIED,NHETA03-0021,"#25015H-003I (RANGE22.0-24.0,B=273,MT=3)",2,"מק'ארוך,תעול ישר,קנה קוני+קרור",326.45
ALLIED,NHETA25-0020,"#25015H-25FM(RANGE22.0-24.0,B270,d25*53)",4,"מקדח א. מא',ספיר',קנה ישר+קרור",346.04
ALLIED,NHETA04-0011,"#25020S-004I (RANGE24.6-35.0,B=289,MT=4)",1,"מק'ארוך,תעול ישר,קנה קוני+קרור",213.53
ALLIED,NHETA04-0021,"#25025S-004I (RANGE30.0-35.0,B=289,MT=4)",1,"מק'ארוך,תעול ישר,קנה קוני+קרור",227.34
ALLIED,NHLTA40-0030,"#25030S-40FM(RANGE35.7-47.6,B349,d40*70)",1,"מקדח ארוך,תעולישר,קנה ישר+קרור",859.6
